title	filenames	captions
Gamyo d'Épinal	Dauphins_d'Épinal_logo.png	Former logo.
French frigate De Grasse (D 612)	De_Grasse_2.jpg	The frigate De Grasse
French frigate De Grasse (D 612)	De_Grasse_3.jpg	Aft of the frigate De Grasse; the towed sonar is clearly visible
French frigate De Grasse (D 612)	De_Grasse_4.jpg	The command bridge of De Grasse
French frigate De Grasse (D 612)	De_Grasse_5.jpg	The frigate De Grasse, harboured in Portsmouth, for the International Festival of the Sea (25 August 2001).
French frigate De Grasse (D 612)	Fleet_5_nations.jpg	De Grasse (centre left) in a 5-country multinational fleet, during Operation Enduring Freedom in the Oman Sea.
Five Corners, Shawano County, Wisconsin	USA_Wisconsin_location_map.svg	Five Corners, Wisconsin is located in Wisconsin
Five Corners, Shawano County, Wisconsin	Usa_edcp_location_map.svg	Five Corners, Wisconsin is located in the United States
Fleet faction	Kanji_kato.jpg	Admiral Katō Kanji, who led opposition to the Washington Naval Treaty, was regarded as the leader of the faction.
Fleet faction	Alfred-Thayer-Mahan.jpg	Alfred Thayer Mahan, whose work heavily influenced Japanese naval policy
Fleet faction	IJN_battleship_design_of_Project-13_class.jpg	Design concept of the Kii-class battleships, part of the eight-eight fleet
Fleet faction	Kijūrō_Shidehara,_Tomosaburō_Katō_and_Iesato_Tokugawa.jpg	Tomosaburo with Iesato Tokugawa and Kijuro Shidehara at the Washington Naval Conference
Fleet faction	Japanese_denonciation_of_the_Washington_Treaty_29_December_1934.jpg	Japanese denunciation of the Treaty, 1934
French Defence Health Service	Logo_du_Service_de_santé_des_armées_(SSA).svg	Logo of the French Defence Central Health Service
French Defence Health Service	EPPA-IMG_8675.jpg	Members of the École du personnel paramédical des armées during the Bastille Day parade in Toulon, 2011
Fleißenbach	Fleissenbach_hartousov.jpg	Plesná near Hartoušov
Floorball at the 2015 Southeast Asian Games – Men's tournament	Gold_medal_icon.svg	gold medal
Floorball at the 2015 Southeast Asian Games – Men's tournament	Silver_medal_icon.svg	silver medal
Floorball at the 2015 Southeast Asian Games – Men's tournament	Bronze_medal_icon.svg	bronze medal
HDMS Danbjørn (A551)	Ice_breakers_Danbjørn,_Isbjørn_and_Thorbjørn_in_Frederikshavn.jpg	Danbjørn with Thorbjørn in Frederikshavn
Geithain railway station	GeithainBf.JPG	The Geithain station building in 2011
Geithain railway station	Saxony_location_map.svg	Geithain is located in Saxony
Geithain railway station	Germany_adm_location_map.svg	Geithain is located in Germany
Geithain railway station	Europe_blank_laea_location_map.svg	Geithain is located in Europe
Flood mitigation	Communit1.jpg	Emergency flood barrier
Fulvalene (compound class)	Fulvalenes_general.svg	Fulvalenes
Fulvalene (compound class)	W2FulvaleneComplex.png	Tungsten fulvalene complex
Gemstone (database)	GemStone-S_logo_and_wordmark.png	GemStone/S logo and wordmark
F.C. Vado	La_Coppa_Italia_del_calcio_1922.jpg	Vado's Coppa Italia trophy
Floorball at the 2019 Southeast Asian Games – Men's tournament	Gold_medal_icon.svg	gold medal
Floorball at the 2019 Southeast Asian Games – Men's tournament	Silver_medal_icon.svg	silver medal
Floorball at the 2019 Southeast Asian Games – Men's tournament	Bronze_medal_icon.svg	bronze medal
Floorball at the 2019 Southeast Asian Games – Men's tournament	Ice_hockey_puck_cross.svg	MISS
Floorball at the 2019 Southeast Asian Games – Men's tournament	Ice_hockey_puck_cross.svg	MISS
Floorball at the 2019 Southeast Asian Games – Men's tournament	Ice_hockey_puck.svg	GOAL
Floorball at the 2019 Southeast Asian Games – Men's tournament	Ice_hockey_puck.svg	GOAL
Floorball at the 2019 Southeast Asian Games – Men's tournament	Ice_hockey_puck_cross.svg	MISS
Floorball at the 2019 Southeast Asian Games – Men's tournament	Ice_hockey_puck_cross.svg	MISS
Floorball at the 2019 Southeast Asian Games – Men's tournament	Ice_hockey_puck_cross.svg	MISS
Floorball at the 2019 Southeast Asian Games – Men's tournament	Ice_hockey_puck.svg	GOAL
Floorball at the 2019 Southeast Asian Games – Men's tournament	Ice_hockey_puck_cross.svg	MISS
Floorball at the 2019 Southeast Asian Games – Men's tournament	Ice_hockey_puck_cross.svg	MISS
Funiculaire Saint-Imier-Mont-Soleil	Funiculaire_Saint-Imier_-_Mont-Soleil,_1930_(ETH-BIB-LBS_MH01-006046).tiff	aerial view (1930)
Fluke, or, I Know Why the Winged Whale Sings	Fluke_lg.jpg	First edition
General Corps (Israel)	Klali.jpg	General Corps badge
Fairview, Wisconsin	USA_Wisconsin_location_map.svg	Fairview is located in Wisconsin
Fairview, Wisconsin	Usa_edcp_location_map.svg	Fairview is located in the United States
Fordham, Wisconsin	USA_Wisconsin_location_map.svg	Fordham is located in Wisconsin
Falmouth Inner Light	Nantucket_light_1.jpg	Sankaty Head Light
Former place names in the Democratic Republic of the Congo	Mapcongo1914.jpg	Map of the Belgian Congo, 1914
Former place names in the Democratic Republic of the Congo	Kinshasa_Congo.jpg	Kinshasa, formerly known as Léopoldville or Leopoldstad 
Former place names in the Democratic Republic of the Congo	Downtown_Lubumbashi,_Democratic_Republic_of_the_Congo_-_20061130.jpg	Lubumbashi, formerly known as Élisabethville or Elisabethstad
Former place names in the Democratic Republic of the Congo	Kisangani_rond-point_Cathédrale_et_Congo_Palace.jpg	Kisangani, formerly known as Stanleyville or Stanleystad
Former place names in the Democratic Republic of the Congo	Stadsaanzichten_f.JPG	Mbandaka, formerly Coquilhatville or Cocquilhatstad
Former place names in the Democratic Republic of the Congo	Maluku.jpg	Pool Malebo, formerly Stanley Pool
Falun, Wisconsin	USA_Wisconsin_location_map.svg	Falun is located in Wisconsin
Four Corners, Douglas County, Wisconsin	USA_Wisconsin_location_map.svg	Four Corners is located in Wisconsin
Four Corners, Douglas County, Wisconsin	Usa_edcp_location_map.svg	Four Corners is located in the United States
HMS Preventer (Z265)	Naval_Ensign_of_the_United_Kingdom.svg	Royal Navy Ensign
Fatimat Olufunke Raji-Rasaki	Sen_Adefemi_Kila_&_Sen_Raji_Rasaki.jpg	Sen. Raji Rasaki photographed in a handshake
Farmers Valley, Wisconsin	USA_Wisconsin_location_map.svg	Farmers Valley, Wisconsin is located in Wisconsin
Farmers Valley, Wisconsin	Usa_edcp_location_map.svg	Farmers Valley, Wisconsin is located in the United States
Former National Congress Building	Palacio_del_ex_Congreso_Nacional_de_Chile_-_2020_-_03.jpg	Front of Former National Congress Building, Santiago
Former National Congress Building	Former_chamber_congress_santiago_chile_zootalures.jpg	Former Congress Chamber
France–UK border	Channel_Tunnel_geological_profile_1.svg	Geological profile along the tunnel (in brown) as constructed above sea
France–UK border	Zone_portuaire_calais_phare.jpg	The Port of Calais
France–UK border	LionCannotFaceTheCrowingOfCock.png	General Wolseley riding on the fleeing lion. Published in the American humour magazine Puck (approx. 1885). It depicts fears of a Channel Tunnel
France–UK border	Course_Channeltunnel_en.svg	Channel Tunnel course
HMS Tyler (K576)	Naval_Ensign_of_the_United_Kingdom.svg	Royal Navy Ensign
Fatman (film)	Fatman_poster.jpg	Theatrical release poster
Gaslamp fantasy	Dracula-First-Edition-1897.jpg	First edition cover of Bram Stoker's ever-popular vampire novel, Dracula, a common reference for gaslamp fantasy literature.
Gaslamp fantasy	Symbol_portal_class.svg	Portal
Formon, Les Cayes, Haiti	Haiti_location_map.svg	Formon is located in Haiti
Francisco Manuel Chaves Pinheiro	Museu_Histórico_Nacional,_RJ._Brasil_(4334144642).jpg	Equestrian statue of Pedro II
Haft Ashian, Sonqor	Iran_location_map.svg	Haft Ashian is located in Iran
Gateway Handbook	Hb486_dillo_big.jpg	By using the Dillo browser, it is possible to browse web pages on a Handbook 486 running Linux.
Fairfax, California B-17 Crash	B-17-crash-site.jpg	Crash site of B-17
Fort Collins Police Services	Fort_Collins_Police_Services_patrol_car.JPG	One version of a Fort Collins Police Services patrol car
February 13, 1979 windstorm	Feb131979StormPeakGustMap.jpg	Map of the storm. Most of these peak gusts are from official stations
Gamma-ray Burst Coordinates Network	GCN.PNG	Diagram of the Gamma ray burst Coordinates Network. (NASA/GSFC)
François Falc'hun	E_Hanveg.jpg	Falc'hun recording a song in 1939
Hamilton Harbour Police	Hamilton_Harbour_Police_Shore_Patrol.jpg	A Hamilton Harbour Police Shore Patrol shoulder patch worn by officers
Felix Gaeta	Gaeta_Season_3.jpg	Alessandro Juliani as Lieutenant Felix Gaeta
Federation of bandy and field hockey USSR	1981._Чемпионат_мира_по_хоккею_с_мячом.jpg	The Soviet Union hosted many Bandy World Championships.
General Staff of the Defense Forces of Georgia	Flag_of_Georgia.svg	Flag of Georgia
Francis of Mayrone	William_of_Ockham.png	Aquinas, Scotus, and Ockham
Hanumakonda district	12th_century_Thousand_Pillar_temple,_Hanumkonda,_Telangana,_India_-_03.jpg	Thousand Pillar Temple in Hanumakonda
Hanumakonda district	Warangal_(urban)_Revenue_division.png	Warangal (urban) District Revenue division
Hanumakonda district	Revenue_divisions_map_of_Warangal_district.png	Undivided Warangal district from 1 October 1953 to 10 October 2016
Genius Squad	Genius_Squad_Cover.jpg	Front cover.
Geethanjali (TV series)	Geethanjali.jpg	Title card
Gelée, Les Cayes, Haiti	Haiti_location_map.svg	Gelée is located in Haiti
Ghar (film)	Ghar_film_poster.jpg	Poster
Far North Region, Cameroon	Cameroon_-_Far_North.svg	Location of Far North Region within Cameroon
Far North Region, Cameroon	VUE_DE_MAROUA_DU_MONT_MAYO_IBÉ_(EXTRÊME-NORD_CAMEROUN).jpg	View of Maroua in the Far North Region
Far North Region, Cameroon	A_street_in_Maroua.jpg	A street In Maroua Town
Far North Region, Cameroon	Lac_de_Maga_dans_l'extrême_nord2.jpg	Maga Lake in the Far North Region of Cameroon
Far North Region, Cameroon	Lac_de_Maga_dans_l'extrême_nord.jpg	Local people fishing in Maga Lake
Far North Region, Cameroon	Parc_de_Waza_13.jpg	Giraffes in Waza National Park during the dry season
Far North Region, Cameroon	Maison_obus.jpg	Musgum dwelling unit
Far North Region, Cameroon	Extreme_North_Province_ethnic_groups.png	Locations of the various ethnic groups of the Far North Province
Far North Region, Cameroon	Village_de_Cases_Yagoua.jpg	Housing unit in a village in Yagoua
Far North Region, Cameroon	Rhumsiki_Peak.jpg	Rhumsiki Valley, one of Cameroon's most popular tourist attractions.
Far North Region, Cameroon	Transporteur_de_carburant_sur_bicyclette_à_Maroua.jpg	Fuel transportation by bicycle from Nigeria sold in Maroua, Far North
Far North Region, Cameroon	Elephants_around_tree_in_Waza,_Cameroon.jpg	Elephants in Waza National Park
Far North Region, Cameroon	Les_monts_Kapsiki_dans_l'Extrême_nord2.jpg	Kapsiki mountains
Far North Region, Cameroon	Far_North_Cameroon_divisions.png	Departments of Far North Cameroon
Far North Region, Cameroon	Flag_of_Cameroon.svg	Flag of Cameroon
Far North Region, Cameroon	Cameroon_-_Far_North.svg	Far North Region
Francisco da Silveira Pinto da Fonseca Teixeira, 1st Count of Amarante	Francisco_da_Silveira_Pinto_da_Fonseca,_1.º_Conde_de_Amarante.png	19th-century portrait of General Silveira, Count of Amarante
Gender Education	BBC_Television_Centre_Exploded.png	The scene where Bill explodes BBC Television Centre.
Fatali Khan (Shaki khan)	Feteli_khan.jpg	Gravestone of Fatali Khan
Geoffrey Alexander Rowley-Conwy, 9th Baron Langford	Bodrhyddan_Hall_parterre_(geograph_5583322).jpg	Bodrhyddan and parterre
Ghomala' language	Aphabet.jpg	Alphabet of the Ghomala' language
Hashemabad, Jolgeh	Iran_location_map.svg	Hashemabad is located in Iran
George Prévost	SirGeorgeProvostByRobertFieldGovernmentHouseNovaScotia.JPG	Provost by Robert Field, Government House (Nova Scotia)
George Prévost	Invasion_of_Martinique_(1809)_Monument,_St._George's_Church,_Halifax,_Nova_Scotia.jpg	Prevost's monument to soldiers killed during Invasion of Martinique (1809) Monument, St. George's (Round) Church, Halifax, Nova Scotia
George Prévost	SirGeorgePrevostByRobertField.jpg	Sir George Prevost with sword from Nova Scotia House of Assembly to commemorate his victory at Martinique. Painting by Robert Field, The Halifax Club, Halifax, Nova Scotia
George Prévost	Portrait_of_Lieutenant_General_Sir_George_Prevost,_1767-1816_OHQ2-PICTURES-S-R-9.jpg	Prevost in 1812
George Prévost	Memorial_to_George_Prévost_in_Winchester_Cathedral.jpg	Memorial in Winchester Cathedral
George Speke (died 1584)	SpekeArms.PNG	"Speke arms: Argent, two bars azure over all an eagle with two heads displayed  gules. The Speke canting crest is: A porcupine proper (French: porc-é(s)pic, (""spiky-pig""))"
Friends' School, Hobart	Friendshobart1948.jpg	The Friends' School entrance and buildings, 1948.
Hayward Heath, California	Map_of_California_highlighting_Alameda_County.svg	Alameda County map
Fir Mountain, Saskatchewan	Canada_Saskatchewan_location_map.svg	Fir Mountain is located in Saskatchewan
Georges Plains, New South Wales	Australia_New_South_Wales_location_map_blank.svg	Georges Plains is located in New South Wales
Goba (Tanzanian ward)	Tanzania_location_map.svg	Goba is located in Tanzania
Futsal at the 2021 Southeast Asian Games	Vietnam_location_map.svg	Futsal at the 2021 Southeast Asian Games is located in Vietnam
Ghosale gad	India_Maharashtra_location_map.svg	Ghosalegad Fort is located in Maharashtra
Ghosale gad	Ghosale6.jpg	Village Ghosale from the fort
Ghosale gad	Ghosale2.jpg	Cannon on the fort
Ghosale gad	Ghosale3.jpg	Escape gate
Ghosale gad	Ghosale4.jpg	Rock cut water cistern
Ghosale gad	Ghosale5.jpg	Cave on the fort
Ghosale gad	Ghosale7.jpg	Fort wall
George Dennick Wick	Campbellworks.jpg	Youngstown Sheet and Tube Company
George Dennick Wick	RMS_Titanic_sea_trials_April_2,_1912.jpg	RMS Titanic
Godefroy, Les Cayes, Haiti	Haiti_location_map.svg	Godefroy is located in Haiti
Futsal at the 2021 Southeast Asian Games - Women's tournament	Vietnam_location_map.svg	Futsal at the 2021 Southeast Asian Games - Women's tournament is located in Vietnam
Five Points, Dane County, Wisconsin	USA_Wisconsin_location_map.svg	FivePoints is located in Wisconsin
Five Points, Dane County, Wisconsin	Usa_edcp_location_map.svg	FivePoints is located in the United States
Gim Seokju	Kim_Seokju.PNG	Gim Seokju
Gim Seokju	Letter_of_Sikam_Kim_Seok-ju.PNG	Letter of Sikam Kim Seok-ju
George Frisbie Hoar	George_Frisbie_Hoar_-_Brady-Handy.jpg	Hoar c. 1870s
George Frisbie Hoar	Appletons'_Hoar_Samuel_-_George_Frisbie_signature.png	George Frisbie Hoar's signature
George Frisbie Hoar	GeoFHoar.jpg	George F. Hoar in his later years.
George Frisbie Hoar	Seal_of_the_United_States_Senate.svg	United States Senate
George Frisbie Hoar	Seal_of_the_United_States_Senate.svg	Seal of the United States Senate
George Howard Williams	Seal_of_the_United_States_Senate.svg	United States Senate
Flare (album)	Flarecddvdhs.jpg	CD + DVD cover
Glanbia Co-operative Society Limited	Logo_for_Avonmore.png	Avonmore logo
Fencing at the 2015 Southeast Asian Games – Women's épée	Gold_medal_icon.svg	gold medal
Fencing at the 2015 Southeast Asian Games – Women's épée	Silver_medal_icon.svg	silver medal
Fencing at the 2015 Southeast Asian Games – Women's épée	Bronze_medal_icon.svg	bronze medal
Fencing at the 2015 Southeast Asian Games – Women's épée	Bronze_medal_icon.svg	bronze medal
Fitzgerald, Wisconsin	USA_Wisconsin_location_map.svg	Fitzgerald, Wisconsin is located in Wisconsin
Fitzgerald, Wisconsin	Usa_edcp_location_map.svg	Fitzgerald, Wisconsin is located in the United States
Flick grinder	FlickGrinder.jpg	Flick grinder with magnetic chuck
Glen Oak, Wisconsin	USA_Wisconsin_location_map.svg	Glen Oak, Wisconsin is located in Wisconsin
Glen Oak, Wisconsin	Usa_edcp_location_map.svg	Glen Oak, Wisconsin is located in the United States
Fencing at the 2015 Southeast Asian Games – Women's team foil	Gold_medal_icon.svg	gold medal
Fencing at the 2015 Southeast Asian Games – Women's team foil	Silver_medal_icon.svg	silver medal
Fencing at the 2015 Southeast Asian Games – Women's team foil	Bronze_medal_icon.svg	bronze medal
Fencing at the 2015 Southeast Asian Games – Women's team foil	Bronze_medal_icon.svg	bronze medal
Five Points, Richland County, Wisconsin	USA_Wisconsin_location_map.svg	Five Points, Wisconsin is located in Wisconsin
Five Points, Richland County, Wisconsin	Usa_edcp_location_map.svg	Five Points, Wisconsin is located in the United States
Floorball at the 2015 Southeast Asian Games – Women's tournament	Gold_medal_icon.svg	gold medal
Floorball at the 2015 Southeast Asian Games – Women's tournament	Silver_medal_icon.svg	silver medal
Glenn Oaks Beach, Wisconsin	USA_Wisconsin_location_map.svg	Glenn Oaks Beach is located in Wisconsin
Glenn Oaks Beach, Wisconsin	Usa_edcp_location_map.svg	Glenn Oaks Beach is located in the United States
Fencing at the 2015 Southeast Asian Games – Women's sabre	Gold_medal_icon.svg	gold medal
Fencing at the 2015 Southeast Asian Games – Women's sabre	Silver_medal_icon.svg	silver medal
Fencing at the 2015 Southeast Asian Games – Women's sabre	Bronze_medal_icon.svg	bronze medal
Fencing at the 2015 Southeast Asian Games – Women's sabre	Bronze_medal_icon.svg	bronze medal
Galna	Galna_fort.JPG	Galna fort seen from base village
Galna	India_Maharashtra_location_map.svg	Galna Fort is located in Maharashtra
Galna	Galna1.jpg	Fortification
Galna	Galna2.jpg	Mosque
Galna	Galna3.jpg	Farsi inscriptions
Galna	Galna4.jpg	Galna Village
Folsom, Wisconsin	USA_Wisconsin_location_map.svg	Folsom, Wisconsin is located in Wisconsin
Folsom, Wisconsin	Usa_edcp_location_map.svg	Folsom, Wisconsin is located in the United States
German Expressionism (cinema)	The_Cabinet_of_Dr_Caligari_Conrad_Veidt.png	Conrad Veidt from director Robert Wiene's 1920 silent film The Cabinet of Dr. Caligari
German Expressionism (cinema)	Das_Cabinet_des_Dr._Caligari_(1920)_-_American_Ad_1921.jpg	American newspaper ad for the German film The Cabinet of Dr. Caligari (1920) from the Goldwyn Pictures press book.
Hesarcheh	Iran_location_map.svg	Hesarcheh is located in Iran
Flora of St Helena	Cabbage_trees.jpeg	Remnant of a native Cabbage Tree forest in Saint Helena.
Gnojnica, Lukavac	Bosnia_and_Herzegovina_location_map.svg	Gnojnica is located in Bosnia and Herzegovina
Hestur, Hestur	Faroe_Islands_location_map.svg	Hestur is located in Denmark Faroe Islands
Gilbert, Wisconsin	USA_Wisconsin_location_map.svg	Gilbert is located in Wisconsin
Gilbert, Wisconsin	Usa_edcp_location_map.svg	Gilbert is located in the United States
Garbage theft	Realidade_Socioeconômica_e_Política_Brasileira_Por_Renata_Ferreira.JPG	Urban trash receptacle
High-dose estrogen	Estradiol_valerate.svg	Estradiol valerate, an estrogen which has been used as a means of HDE.
Grandora, Saskatchewan	Canada_Saskatchewan_location_map.svg	Grandora is located in Saskatchewan
Gin Tama	Gintamavol01cover.jpg	First tankōbon volume cover, featuring Gintoki Sakata
Gin Tama	Gintamashonenjump.jpg	Cover of the first issue of the Weekly Shōnen Jump magazine that featured the manga.
Feridun Cemal Erkin (1899–1980)	Bundesarchiv_B_145_Bild-F017259-0001,_Bonn,_Empfang_für_Außenminister_der_Türkei_erkin.jpg	Erkin in Bonn during a state visit while serving as the minister of foreign affairs
Feridun Cemal Erkin (1899–1980)	Bundesarchiv_B_145_Bild-F017281-0000,_BMZ,_Scheel_empfängt_Außenminister_der_Türkei.jpg	Erkin (left) with Walter Scheel (middle), future President of West Germany in 1964
Foreign military units at the state funeral of John Kennedy	Kennedy_family_leading_funeral_procession,_25_November_1963.jpg	The presence of elements of the British and Irish armies at the state funeral of John Kennedy was requested by Jacqueline Kennedy, shown here during the funeral procession.
Gooch Dillard Residence Halls	Gooch_Dillard_Residence_Halls.jpg	Gooch Dillard Residency Halls at UVA
Gooch Dillard Residence Halls	Gooch_Dillard_Plaque_.jpg	Memorial in the residential area
Gloria Tang (actress)	鄧佩儀.jpg	Tang in 2019
Ghibli Clock	NTV_Mystudio_Deck.JPG	Part of the clock in 2015
Hilë Mosi	Hil_Mosi_(nënshkrim).svg	Hilë Mosi's signature
Ford Mustang RTR	Series_1_Mustang_RTR_.jpg	Series 1 Mustang RTR Powered by Ford Performance
Ford Mustang RTR	Ford_Mustang_RTR_(30124533178).jpg	Ford Mustang RTR at the Goodwood Festival of Speed, 2018
Ford Mustang RTR	"Picture_of_abdulhadi_al_qahtani_drifting_his_ford_mustang_rtr_during_drift_force_championship_-_khobar_saudi_arabia_23-aug-2016_taken_by_me_using_Canon_EOS_7D_"".jpg"	Ford Mustang RTR 2013 model drifting in Saudi Arabia
Forest (community), Wisconsin	USA_Wisconsin_location_map.svg	Forest, Wisconsin is located in Wisconsin
Forest (community), Wisconsin	Usa_edcp_location_map.svg	Forest, Wisconsin is located in the United States
Garden of Tranquillity	Jing_yuan_mansion_tianjin.jpg	Quiet Garden Villa, as it looks today 
Garden of Tranquillity	Puyi_in_the_Jing_Garden,_Tianjin,_1929-1931.png	Puyi at Jingyuan
Garden of Tranquillity	0Puyi_in_the_Jing_Garden.jpg	Puyi playing golf at Jingyuan
Garden of Tranquillity	Wanrong_and_Puyi_in_the_Jing_Garden,_Tianjin,_1920s.jpg	Puyi and Wanrong at Jingyuan
Garden of Tranquillity	Runqi,_Wanrong,_Puyi,_and_Pujie,1929.jpg	Runqi, Wanrong, Puyi and Pujie at Jingyuan
Garden of Tranquillity	Puyi_in_the_Jing_Garden.jpg	Puy and Zheng Xiaoxu with others at Jingyuan
Hirtshals station	Hirtshals_endstation_ubt.JPG	Platform facade of Hirtshals station
Hirtshals station	Denmark_adm_location_map.svg	Hirtshals Station is located in Denmark
Hirtshals station	Ein-triebzug-ys-68--648010.jpg	Railcar from Hjørring Privatbaner at Hirtshals station in 1975
Hirtshals station	Den_Gamle_Station_in_Hirtshals_Feb_2011_ubt.JPG	The original station building in 2011
Forestknowledge.net	Grib_skov.jpg	The forest ecosystem
Grass Roots (novel)	Grass_Roots_(novel).jpg	First edition
Gilman (Yap)	Yap_Islands_municipalities.jpg	Map of the municipalities of Yap including Gilman
George Cary (1611-1680)	Arms_of_the_Carey_family_of_Chilton_Foliat.png	Arms of Cary: Argent, on a bend sable three roses of the field[1]
George Cary (1611-1680)	GeorgeCary_Died1680_DeanOfExeter_ClovellyChurch_Devon.PNG	Mural monument to Dr. George Cary (1611–1680), Dean of Exeter, Clovelly Church
George Cary (1611-1680)	HancockArms.PNG	Canting arms of Hancock of Combe Martin: Gules, on a chief argent three cocks of the field
Fir Island (Washington)	Snow_Geese_in_Fir_Island_field_-_2009.jpg	Snow geese on Fir Island, Skagit River Delta
Fir Island (Washington)	USA_Washington_location_map.svg	Fir Island is located in Washington (state)
Fir Island (Washington)	Chen_caerulescens_32953.JPG	Snow geese feed in agricultural fields of Fir Island in the winter
Fir Island (Washington)	Craft_Island_33497.JPG	Driftwood deposited by Skagit River floodwaters on the Fir Island shore
Hobro station	HobroStationNedefra.JPG	Front facade of Hobro station
Hobro station	Denmark_adm_location_map.svg	Hobro Station is located in Denmark
Hobro station	HobroStationSporside.JPG	Platform facade of Hobro station
Gringos (novel)	Gringos_-_Charles_Portis.jpg	Front cover of Gringos by Charles Portis.
Glenbain, Saskatchewan	Canada_Saskatchewan_location_map.svg	Glenbain is located in Saskatchewan
First Inauguration of Muhammadu Buhari	Incoming_and_Outgoing_Nigerian_Presidents_Wave_to_Crowd_Amid_Peaceful_Inaugural_in_Abuja.jpg	Incoming and outgoing Nigerian Presidents
First Inauguration of Muhammadu Buhari	Nigerian_President_Jonathan_Sits_With_President-Elect_Buhari_Amid_His_Inauguration_Ceremony_in_Abuja.jpg	President Jonathan with Buhari.
First Inauguration of Muhammadu Buhari	Security_Personnel_Hold_Hands_to_Form_Human_Chain_as_Nigerian_President_Jonathan_Transferred_Power_to_President-Elect_Buhari.jpg	Security personnel hold hands to form human chain.
First Inauguration of Muhammadu Buhari	Secretary_Kerry_Waves_Upon_Arriving_at_Eagle_Square_in_Abuja.jpg	Secretary Kerry waves Upon arriving at Eagle Square
First Inauguration of Muhammadu Buhari	Secretary_Kerry_Shakes_Hands_With_Newly_Sworn-in_Nigerian_President_Buhari.jpg	Buhari with John Kerry.
Gdański Bridge	Most_Gdański_2015_05.JPG	The Gdańsk Bridge
Gdański Bridge	Most_gdanski_pk.jpg	The historic pillars of the Citadel Bridge are a foundation for the Gdański Bridge
Fr. John J. Crowley	Birdwatchers_at_Crowley_Lake_2002.08.10.jpg	A group of bird watchers at Crowley Lake, August 8, 2002
Fr. John J. Crowley	Lupinus_padre-crowleyi_in_California's_Eastern_Sierra,_July_9,_2003.jpg	Lupinus padre-crowleyi in California's Eastern Sierra, July 9, 2003
Grabovci, Konjic	Bosnia_and_Herzegovina_location_map.svg	Grabovci is located in Bosnia and Herzegovina
Glenmore (community), Wisconsin	USA_Wisconsin_location_map.svg	Glenmore is located in Wisconsin
Glenmore (community), Wisconsin	Usa_edcp_location_map.svg	Glenmore is located in the United States
Fisherville, Wisconsin	USA_Wisconsin_location_map.svg	Fisherville, Wisconsin is located in Wisconsin
Fisherville, Wisconsin	Usa_edcp_location_map.svg	Fisherville, Wisconsin is located in the United States
Grand-Baie	Grand_Baie,_La_Croisette.jpg	La Croisette in Grand-Baie
Grand-Baie	Mauritius_location_map.svg	Grand-Baie is located in Mauritius
Grand-Baie	Thaipusam_celebration_2021,_Grand_Baie,_Mauritius_2.jpg	Thaipusam celebration in Grand-Baie.
Genamii Nokolaevich Dulnev	ГНДульнев.jpg	Gennadiy Nikolaevich Dulnev
Franco-American Flag	Drapeau_français-américain.svg	The Franco-American flag
Franco-American Flag	French_flags_of_America.jpg	The Franco-American flag being flown alongside the flags of numerous other francophone communities
Franco-American Flag	Flags_of_North_American_Francophone_Communities.jpg	"The entry for the Franco-American flag reads, ""Adopted by the Assembly of Franco-Americans in 1983, this flag uses the blue and white colours of that of the United States, which are also found on those of France, Quebec and Acadia. The white star symbolizes the United States and the fleur-de-lys the French culture."""
Fountain Valley, Wisconsin	USA_Wisconsin_location_map.svg	Fountain Valley, Wisconsin is located in Wisconsin
Fountain Valley, Wisconsin	Usa_edcp_location_map.svg	Fountain Valley, Wisconsin is located in the United States
Grande-Saline, Artibonite	Haiti_location_map.svg	Grande-Saline is located in Haiti
Grande-Saline, Artibonite	Flag_of_Haiti.svg	Flag of Haiti
Flesh and Blood (Kellerman novel)	Flesh-and-blood-cover.jpg	Cover of 1st edition
Grande Place, Arcahaie, Ouest	Haiti_location_map.svg	Grande Place is located in Haiti
Godar Pahn, Khuzestan	Iran_location_map.svg	Godar Pahn is located in Iran
Gina Smith (author)	Technology_Journalist_(1).jpg	Smith in March 2000
Holt, Wisconsin	USA_Wisconsin_location_map.svg	Holt, Wisconsin is located in Wisconsin
Holt, Wisconsin	Usa_edcp_location_map.svg	Holt, Wisconsin is located in the United States
Frankfurt–Hanau railway	Meyers5_Frankfurt_Ostend.png	Original Hanau station (Hanauer Bahnhof) in Frankfurt Ostend
Frankfurt–Hanau railway	FfmOst2.jpg	Platforms at Frankfurt East stations; a World War II bunker is in the background
Frankfurt–Hanau railway	Offenbach_Mainfaehre_Rumpenheim.jpg	Rumpenheim ferry and Rumpenheim castle in the background
Frankfurt–Hanau railway	Bahnhof_Wilhelmsbad1.jpg	Wilhelmsbad station
Frankfurt–Hanau railway	Bf_HU_West1.jpg	Hanau West station
Frankfurt–Hanau railway	Containerbahnhof_FFM.jpg	Container depot near Frankfurt East
Fourth Letter (Plato)	Platon.png	Plato from Raphael's The School of Athens (1509–1511)
Granger, Grand'Anse	Haiti_location_map.svg	Granger is located in Haiti
Guy's, Kings and St Thomas' Rugby Football Club	GuysHospitalRugbyFromSketch1922.jpg	Caricature from The Sketch magazine in 1922.
Guy's, Kings and St Thomas' Rugby Football Club	Shield_of_King's_College_London.svg	Arms of King's College London
Guy's, Kings and St Thomas' Rugby Football Club	Wikisource-logo.svg	Wikisource page
Guy's, Kings and St Thomas' Rugby Football Club	Wikinews-logo.svg	Wikinews page
